IDBOOK;IDSCHOOL;IDCLASS;IDSTUD;ITSEX;ASDAGE;ILRELIAB;ASBG01;ASBG03;ASBG04;JKZONE;JKREP;TOTWGT;SENWGT;ASMMAT01;ASMMAT02;ASMMAT03;ASMMAT04;ASMMAT05;ASSSCI01;ASSSCI02;ASSSCI03;ASSSCI04;ASSSCI05;ASMIBM01;ASMIBM02;ASMIBM03;ASMIBM04;ASMIBM05;ASSIBM01;ASSIBM02;ASSIBM03;ASSIBM04;ASSIBM05;ASBGDML;ASDGDML;ASBGICM;ASDGICM;ASBGICS;ASDGICS;ASBGSEC;ASDGSEC;ASBGSSB;ASDGSSB;ASBGSB;ASDGSB;ASBGSLM;ASDGSLM;ASBGSCM;ASDGSCM;ASBGSLS;ASDGSLS;ASBGSCS;ASDGSCS;ASBGVEP;ASDGVEP;ASBGDSL;ASDGDSL;ASBGHRL;ASDGHRL;ASDG05S
6;5007;500702;50070213;2;9.67;1;2;3;4;63;1;311.317082;0.045692;586.51775;582.46469;606.674;594.77478;563.30419;639.45999;582.21931;580.18084;582.09493;584.10938;4;4;4;4;4;5;4;4;4;4;7.94605;3;8.74997;2;11.89622;1;10.06032;2;9.21853;2;7.77652;3;11.04427;1;11.66684;1;10.06643;1;13.79425;1;10.81893;1;9.88318;2;;;3
14;5007;500702;50070214;2;10;1;2;1;3;63;1;311.317082;0.045692;609.89155;657.95643;646.12753;658.57734;610.94551;670.79933;687.08238;738.9854;692.20129;701.24424;4;5;5;5;4;5;5;5;5;5;8.66094;2;12.0657;1;8.49901;2;14.00922;1;7.48602;3;8.58842;2;11.04427;1;11.12809;1;12.38129;1;12.03171;1;9.8007;1;7.42279;3;;;3
1;5007;500702;50070216;1;10;1;1;1;4;63;1;311.317082;0.045692;521.88925;503.95127;500.11444;516.32463;493.87516;546.08217;590.16915;578.68799;594.71716;571.8975;3;3;3;3;3;3;4;4;4;4;11.93926;1;12.0657;1;9.34773;1;9.68141;2;12.85659;1;12.77213;1;9.03594;2;8.34967;3;11.19654;1;13.79425;1;10.81893;1;10.85434;2;;;2
8;5007;500702;50070217;2;10.67;1;2;9;1;63;1;311.317082;0.045692;395.34693;405.60224;433.04656;377.1236;414.75251;350.12672;439.37462;424.40905;408.30652;442.73539;1;2;2;1;2;1;2;2;2;2;999999;9;999999;9;999999;9;999999;9;8.52465;2;8.58842;2;999999;9;999999;9;999999;9;999999;9;999999;9;999999;9;;;1
10;5007;500702;50070219;1;9.67;1;1;2;1;63;1;311.317082;0.045692;315.40546;360.29404;343.62362;351.42335;361.19183;343.10598;312.66287;386.52563;330.42348;336.84877;1;1;1;1;1;1;1;1;1;1;8.34279;3;9.79495;1;6.63027;3;999999;9;9.67568;1;8.58842;2;9.51034;2;8.40994;3;7.52054;3;7.53836;3;8.60822;2;9.1832;2;;;2
10;5007;500703;50070301;2;9.92;1;2;1;4;63;1;307.654528;0.045154;580.90225;583.34198;583.21852;597.82976;590.40363;629.89376;633.00846;609.14522;595.38699;581.65173;4;4;4;4;4;5;5;4;4;4;10.72806;2;10.57679;1;10.57193;1;8.78297;2;11.13407;1;9.5024;2;12.51562;1;14.24115;1;11.19654;1;12.03171;1;12.93917;1;10.48834;2;;;3
2;5007;500703;50070302;2;10.33;1;2;3;3;63;1;307.654528;0.045154;641.41749;611.2877;656.83099;615.59242;634.70759;636.10824;652.28778;618.36025;634.62157;580.58641;5;4;5;4;5;5;5;4;5;4;9.19036;2;9.79495;1;8.90139;2;12.03529;1;9.67568;1;9.71382;1;10.32005;2;11.66684;1;12.38129;1;12.03171;1;10.81893;1;8.23421;3;;;2
3;5007;500703;50070303;2;10.42;1;2;1;5;63;1;307.654528;0.045154;483.69003;502.89972;471.33261;493.40952;488.96552;540.45925;556.90313;513.20662;500.3236;513.83791;3;3;2;3;3;3;4;3;3;3;8.93735;2;7.28667;2;11.89622;1;11.70882;1;10.27009;1;9.31658;2;8.5828;3;8.08148;3;12.38129;1;10.6627;1;10.81893;1;8.23421;3;;;2
4;5007;500703;50070304;1;10.17;1;1;1;3;63;1;307.654528;0.045154;555.22699;524.56694;505.892;508.45086;528.01778;604.07818;579.55159;598.57872;589.02673;595.62942;4;3;3;3;3;4;4;4;4;4;9.43115;2;6.8496;2;7.77868;2;9.68141;2;6.42128;3;8.85315;2;5.92961;3;3.70113;3;9.2842;2;9.88347;2;10.81893;1;9.40243;2;;;3
11;5007;500703;50070305;1;9.58;1;1;4;1;63;1;307.654528;0.045154;482.65791;546.11645;565.04426;500.35944;521.23999;597.7794;626.63947;598.74921;623.45684;601.34852;3;3;4;3;3;4;5;4;4;4;11.068;2;12.0657;1;11.89622;1;9.68141;2;8.52465;2;9.71382;1;8.35903;3;9.55618;2;12.38129;1;12.03171;1;12.93917;1;11.25341;2;;;3
